Familia,Valor,Th_C,Lstrike_km,h_km,L_int_km,Lmax_km,Npatches,Tmean_above_C,Ares_km2,Vres_km3,Vres_m3,Pe_W,Pe_MW,"Pe_R (conservador,0.02)","Pe_R (realista,0.05)",Promedio,PeA_MW_km2
Profundidad,2.5,180,10,0.5,22.9688,11.4844,2,190.8419297,229.688,114.844,114844000000,884410275.6,884.4102756,17.68820551,44.22051378,30.95435965,3.850485335
Profundidad,2.5,180,15,0.5,22.9688,11.4844,2,190.8419297,344.532,172.266,172266000000,1326615413,1326.615413,26.53230827,66.33077067,46.43153947,3.850485335
Profundidad,2.5,180,20,0.5,22.9688,11.4844,2,190.8419297,459.376,229.688,229688000000,1768820551,1768.820551,35.37641102,88.44102756,61.90871929,3.850485335
Profundidad,12,200,10,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,12,200,10,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,12,200,15,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,12,200,15,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,12,200,20,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,12,200,20,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,14,200,10,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,14,200,10,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,14,200,15,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,14,200,15,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,14,200,20,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,14,200,20,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,4,180,10,1,24.4922,12.3047,2,188.7924729,244.922,244.922,244922000000,1829685974,1829.685974,36.59371948,91.48429869,64.03900908,7.470484374
Profundidad,4,180,15,1,24.4922,12.3047,2,188.7924729,367.383,367.383,367383000000,2744528961,2744.528961,54.89057921,137.226448,96.05851362,7.470484374
Profundidad,4,180,20,1,24.4922,12.3047,2,188.7924729,489.844,489.844,489844000000,3659371948,3659.371948,73.18743895,182.9685974,128.0780182,7.470484374
Profundidad,4,180,10,0.5,24.4922,12.3047,2,188.7924729,244.922,122.461,122461000000,914842986.9,914.8429869,18.29685974,45.74214934,32.01950454,3.735242187
Profundidad,4,180,15,0.5,24.4922,12.3047,2,188.7924729,367.383,183.6915,183691500000,1372264480,1372.26448,27.44528961,68.61322402,48.02925681,3.735242187
Profundidad,4,180,20,0.5,24.4922,12.3047,2,188.7924729,489.844,244.922,244922000000,1829685974,1829.685974,36.59371948,91.48429869,64.03900908,3.735242187
Profundidad,2,200,10,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2,200,10,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2,200,15,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2,200,15,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2,200,20,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2,200,20,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2.5,200,10,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2.5,200,10,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2.5,200,15,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2.5,200,15,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2.5,200,20,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,2.5,200,20,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,6,180,10,1,30,30,1,188.325962,300,300,300000000000,2225544995,2225.544995,44.5108999,111.2772498,77.89407483,7.418483317
Profundidad,6,180,15,1,30,30,1,188.325962,450,450,450000000000,3338317493,3338.317493,66.76634985,166.9158746,116.8411122,7.418483317
Profundidad,6,180,20,1,30,30,1,188.325962,600,600,600000000000,4451089990,4451.08999,89.0217998,222.5544995,155.7881497,7.418483317
Profundidad,6,180,10,0.5,30,30,1,188.325962,300,150,150000000000,1112772498,1112.772498,22.25544995,55.63862488,38.94703741,3.709241658
Profundidad,6,180,15,0.5,30,30,1,188.325962,450,225,225000000000,1669158746,1669.158746,33.38317493,83.45793731,58.42055612,3.709241658
Profundidad,6,180,20,0.5,30,30,1,188.325962,600,300,300000000000,2225544995,2225.544995,44.5108999,111.2772498,77.89407483,3.709241658
Profundidad,4,200,10,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,4,200,10,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,4,200,15,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,4,200,15,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,4,200,20,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,4,200,20,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,6,200,10,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,6,200,10,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,6,200,15,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,6,200,15,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,6,200,20,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,6,200,20,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,8,180,15,1,30,30,1,185.9045993,450,450,450000000000,3218103706,3218.103706,64.36207413,160.9051853,112.6336297,7.15134157
Profundidad,8,180,10,1,30,30,1,185.9045993,300,300,300000000000,2145402471,2145.402471,42.90804942,107.2701235,75.08908648,7.15134157
Profundidad,8,180,20,1,30,30,1,185.9045993,600,600,600000000000,4290804942,4290.804942,85.81609884,214.5402471,150.178173,7.15134157
Profundidad,8,180,10,0.5,30,30,1,185.9045993,300,150,150000000000,1072701235,1072.701235,21.45402471,53.63506177,37.54454324,3.575670785
Profundidad,8,180,15,0.5,30,30,1,185.9045993,450,225,225000000000,1609051853,1609.051853,32.18103706,80.45259266,56.31681486,3.575670785
Profundidad,8,180,20,0.5,30,30,1,185.9045993,600,300,300000000000,2145402471,2145.402471,42.90804942,107.2701235,75.08908648,3.575670785
Profundidad,8,200,10,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,8,200,10,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,8,200,15,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,8,200,15,1,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,8,200,20,0.5,0,0,0,,0,0,0,0,0,0,0,0,0
Profundidad,8,200,20,1,0,0,0,,0,0,0,0,0,0,0,0,0
Pulso,70,150,10,1,30,30,1,189.1520166,300,300,300000000000,2253203807,2253.203807,45.06407614,112.6601904,78.86213325,7.510679357
Pulso,70,150,15,1,30,30,1,189.1520166,450,450,450000000000,3379805711,3379.805711,67.59611421,168.9902855,118.2931999,7.510679357
Pulso,70,150,20,1,30,30,1,189.1520166,600,600,600000000000,4506407614,4506.407614,90.12815228,225.3203807,157.7242665,7.510679357
Pulso,70,150,10,0.5,30,30,1,189.1520166,300,150,150000000000,1126601904,1126.601904,22.53203807,56.33009518,39.43106662,3.755339678
Pulso,70,150,15,0.5,30,30,1,189.1520166,450,225,225000000000,1689902855,1689.902855,33.79805711,84.49514276,59.14659993,3.755339678
Pulso,70,150,20,0.5,30,30,1,189.1520166,600,300,300000000000,2253203807,2253.203807,45.06407614,112.6601904,78.86213325,3.755339678
Pulso,70,180,10,1,30,30,1,189.1520166,300,300,300000000000,2253203807,2253.203807,45.06407614,112.6601904,78.86213325,7.510679357
Pulso,70,180,15,1,30,30,1,189.1520166,450,450,450000000000,3379805711,3379.805711,67.59611421,168.9902855,118.2931999,7.510679357
Pulso,70,180,20,1,30,30,1,189.1520166,600,600,600000000000,4506407614,4506.407614,90.12815228,225.3203807,157.7242665,7.510679357
Pulso,70,180,10,0.5,30,30,1,189.1520166,300,150,150000000000,1126601904,1126.601904,22.53203807,56.33009518,39.43106662,3.755339678
Pulso,70,180,15,0.5,30,30,1,189.1520166,450,225,225000000000,1689902855,1689.902855,33.79805711,84.49514276,59.14659993,3.755339678
Pulso,70,180,20,0.5,30,30,1,189.1520166,600,300,300000000000,2253203807,2253.203807,45.06407614,112.6601904,78.86213325,3.755339678
Pulso,100,150,10,1,30,30,1,191.6901811,300,300,300000000000,2339201403,2339.201403,46.78402807,116.9600702,81.87204912,7.797338011
Pulso,100,150,15,1,30,30,1,191.6901811,450,450,450000000000,3508802105,3508.802105,70.1760421,175.4401053,122.8080737,7.797338011
Pulso,100,150,20,1,30,30,1,191.6901811,600,600,600000000000,4678402807,4678.402807,93.56805614,233.9201403,163.7440982,7.797338011
Pulso,100,150,10,0.5,30,30,1,191.6901811,300,150,150000000000,1169600702,1169.600702,23.39201403,58.48003509,40.93602456,3.898669006
Pulso,100,150,15,0.5,30,30,1,191.6901811,450,225,225000000000,1754401053,1754.401053,35.08802105,87.72005263,61.40403684,3.898669006
Pulso,100,150,20,0.5,30,30,1,191.6901811,600,300,300000000000,2339201403,2339.201403,46.78402807,116.9600702,81.87204912,3.898669006
Pulso,150,150,10,1,30,30,1,197.6764977,300,300,300000000000,2548077400,2548.0774,50.961548,127.40387,89.18270901,8.493591334
Pulso,150,150,15,1,30,30,1,197.6764977,450,450,450000000000,3822116100,3822.1161,76.44232201,191.105805,133.7740635,8.493591334
Pulso,150,150,20,1,30,30,1,197.6764977,600,600,600000000000,5096154800,5096.1548,101.923096,254.80774,178.365418,8.493591334
Pulso,150,150,10,0.5,30,30,1,197.6764977,300,150,150000000000,1274038700,1274.0387,25.480774,63.70193501,44.5913545,4.246795667
Pulso,150,150,15,0.5,30,30,1,197.6764977,450,225,225000000000,1911058050,1911.05805,38.221161,95.55290251,66.88703176,4.246795667
Pulso,150,150,20,0.5,30,30,1,197.6764977,600,300,300000000000,2548077400,2548.0774,50.961548,127.40387,89.18270901,4.246795667
Pulso,100,180,10,1,30,30,1,191.6901811,300,300,300000000000,2339201403,2339.201403,46.78402807,116.9600702,81.87204912,7.797338011
Pulso,100,180,15,1,30,30,1,191.6901811,450,450,450000000000,3508802105,3508.802105,70.1760421,175.4401053,122.8080737,7.797338011
Pulso,100,180,20,1,30,30,1,191.6901811,600,600,600000000000,4678402807,4678.402807,93.56805614,233.9201403,163.7440982,7.797338011
Pulso,100,180,10,0.5,30,30,1,191.6901811,300,150,150000000000,1169600702,1169.600702,23.39201403,58.48003509,40.93602456,3.898669006
Pulso,100,180,15,0.5,30,30,1,191.6901811,450,225,225000000000,1754401053,1754.401053,35.08802105,87.72005263,61.40403684,3.898669006
Pulso,100,180,20,0.5,30,30,1,191.6901811,600,300,300000000000,2339201403,2339.201403,46.78402807,116.9600702,81.87204912,3.898669006
Pulso,200,150,10,1,30,30,1,201.1808755,300,300,300000000000,2674295287,2674.295287,53.48590573,133.7147643,93.60033504,8.914317622
Pulso,200,150,15,1,30,30,1,201.1808755,450,450,450000000000,4011442930,4011.44293,80.2288586,200.5721465,140.4005026,8.914317622
Pulso,200,150,20,1,30,30,1,201.1808755,600,600,600000000000,5348590573,5348.590573,106.9718115,267.4295287,187.2006701,8.914317622
Pulso,200,150,10,0.5,30,30,1,201.1808755,300,150,150000000000,1337147643,1337.147643,26.74295287,66.85738217,46.80016752,4.457158811
Pulso,200,150,15,0.5,30,30,1,201.1808755,450,225,225000000000,2005721465,2005.721465,40.1144293,100.2860733,70.20025128,4.457158811
